artist,album,track,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,msPlayed
LEE SUHYUN,Lovestruck in the City (Original Television Soundtrack) Pt.3,Love And Pain,spotify:track:6RUa9pG6jSeFwHMCSMSOTm,0.348,0.38,8,-7.558,1,0.0421,0.91,8.66E-06,0.107,0.2,207.508,263987,47028883
7Princess,Princess Diary,Mom's tree,spotify:track:4yvO7UDE5IpYwTdskV0SMU,0.573,0.405,3,-5.865,1,0.0298,0.806,0,0.141,0.074,133.706,258373,967761
Raina,Once again OST Part 4,LOVE IS DANGER,spotify:track:0fQsVqUyqyCYfdy2t79R6i,0.749,0.794,4,-3.433,1,0.0395,0.67,0,0.212,0.657,97.948,224613,332163
Steve Aoki,Neon Future III,Azukita,spotify:track:6tSaMs79oJxK3VZ7QFgoTj,0.715,0.93,8,-3.925,1,0.108,0.00158,0.000318,0.0589,0.824,130.025,226162,12827043
Zeauxi,July on Film,July on Film,spotify:track:1BJIJ69DZNip7Erq6u69mu,0.532,0.25,1,-13.496,0,0.0955,0.758,0.000389,0.152,0.265,139.774,215380,771715
We Three,"Dear Paranoia, Sincerely, Me",i wanna love somebody,spotify:track:6FuGYKmj8wWTFU5euCbg6G,0.591,0.682,9,-7.381,1,0.0482,0.121,0,0.088,0.519,155.922,233616,722267
Jenevieve,Division,Baby Powder,spotify:track:4Nw7kywWurWS6ceinn1cHK,0.799,0.452,1,-7.641,0,0.0466,0.238,0.000133,0.0878,0.732,78.461,176760,8317976
Sophia Kao,For You,For You,spotify:track:0xgK4BscXNauijlr9bWg1B,0.606,0.176,0,-9.589,1,0.0367,0.851,0,0.104,0.205,124.112,235181,1408516
Billie Eilish,Happier Than Ever,Therefore I Am,spotify:track:20R4HfKloPKgXDqU7UKk3x,0.879,0.365,2,-7.781,1,0.0924,0.227,0.135,0.0583,0.663,94.016,173539,3318269
CNBLUE,Bluetory,Loner,spotify:track:7wqBDFp7JZfWp3aPaC4gHQ,0.752,0.75,2,-3.702,0,0.068,0.243,0,0.296,0.788,105.001,217835,3275054
Meryl Streep,Mamma Mia! The Movie Soundtrack,"The Winner Takes It All - From ""Mamma Mia!""",spotify:track:4uytiW8D73yWQHkg1PzYlB,0.427,0.377,5,-8.136,1,0.0334,0.682,0,0.105,0.245,125.081,297933,5456
Taylor Swift,1989,Blank Space,spotify:track:1p80LdxRV74UKvL8gnD7ky,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64E-06,0.13,0.583,96.006,231827,10586291
Giveon,When It's All Said And Done... Take Time,Heartbreak Anniversary,spotify:track:27tDoZsybt3KvJWTDoW9id,0.443,0.459,0,-8.955,1,0.074,0.546,1.05E-06,0.307,0.565,87.064,198371,0
David Tao,I'm O.K.,天天,spotify:track:4rzTxZaFsTXQN54WimO4QU,0.522,0.551,2,-6.908,0,0.0339,0.275,0,0.123,0.158,120.976,255200,1500829
h3R3,他只是經過,他只是經過,spotify:track:6TBJGBdclNJ3kHBzaROQ4B,0.749,0.558,1,-6.488,1,0.0309,0.148,0.00151,0.821,0.499,93.016,215382,541521
J_ust,Sweety,Sweety,spotify:track:5LURhI5nh4wAnowd14075i,0.784,0.557,10,-4.082,0,0.0281,0.629,0,0.0995,0.695,104.989,212697,769195
Christian Kuria,Borderline,Losing You,spotify:track:186AzR054q9nSWYSI3qr8D,0.674,0.455,0,-7.835,0,0.036,0.46,0.00196,0.176,0.885,80.023,248069,517948
呆呆破,雨天,雨天,spotify:track:0uiz7D7gVXrAJoAEjDsnw9,0.702,0.543,7,-8.333,1,0.0423,0.246,0,0.147,0.285,132.068,213292,22808646
Kayla,GIFTED,GIFTED,spotify:track:6cTOjW44k3qApsJEy62deK,0.702,0.335,1,-6.722,1,0.0374,0.78,0,0.173,0.291,80.033,222599,0
21 Savage,Lazy Susan (with Rich Brian feat. Warren Hue & Masiwei,Lazy Susan (with Rich Brian feat. Warren Hue & Masiwei,spotify:track:6teBCH8XT3igUdKHWuWuPY,0.762,0.822,2,-5.619,1,0.309,0.0433,0,0.107,0.619,155.964,279139,4063
山K,一步一步走进你的心,一步一步走进你的心,spotify:track:08v4Zy3jOBf8DVL8oDgI8i,0.776,0.25,7,-10.858,1,0.0487,0.631,0,0.344,0.754,114.981,169182,18117257
Nando Fortunato,This Fire in Me,This Fire in Me - Paul Lock Remix,spotify:track:6wXdVXcWyAKbtnytIdgsYS,0.706,0.89,8,-3.435,0,0.045,0.0482,0.0907,0.0668,0.814,118.008,386568,17485622
Jay Chou,11月的蕭邦,黑色毛衣,spotify:track:4MNuUPVgAALVneM0kughvi,0.733,0.48,9,-7.425,0,0.0309,0.737,0,0.15,0.273,118.022,249573,890396
Lloyd Banks,H.F.M. 2 (Hunger For More 2),Start It Up,spotify:track:37qcaCXw7TlBsDD5BgDoCf,0.446,0.87,1,-4.683,1,0.318,0.0935,0,0.437,0.438,161.79,289520,0
So Soo Bin,The Warmest Gift 얼마나 더,The Warmest Gift 얼마나 더,spotify:track:6pMbzRC63fy61v9vUqI8jW,0.597,0.442,6,-6.254,0,0.0249,0.61,0.00458,0.357,0.287,97.002,295507,281944
BLACKPINK,THE ALBUM,Pretty Savage,spotify:track:1XnpzbOGptRwfJhZgLbmSr,0.701,0.556,9,-7.42,0,0.0414,0.00886,0.000122,0.106,0.333,152.045,201122,2063087
015B,Yearbook 2019,#tb 과거의 오늘 - Remastered,spotify:track:1GgiJDzW9EAQNK6QelAqar,0.737,0.441,6,-5.23,1,0.0318,0.594,0,0.0976,0.256,97.531,274895,0
7!!,セツナエモーション,オレンジ,spotify:track:1iOQmZULzzkDN1hQZNoDii,0.4,0.563,7,-4.023,1,0.0319,0.194,0,0.162,0.311,172.027,350107,1156153
Martin Smith,Paint on Spring,Paint on Spring,spotify:track:6HpDaHOApCbCgu5AyyRv6v,0.635,0.66,0,-8.415,1,0.0435,0.123,0,0.122,0.611,98.039,232653,237342
Hello Ga-Young,something special,In a dream (feat. MIND U),spotify:track:21P4hz2DdDOkkLOTm2gJ8S,0.392,0.395,0,-8.333,1,0.0277,0.717,0.000447,0.618,0.337,143.608,233025,3276387
Nicki Minaj,The Pinkprint,Feeling Myself,spotify:track:5fyIGoaaKelzdyW8ELhYJZ,0.564,0.703,2,-5.459,1,0.269,0.437,0.00927,0.358,0.477,139.045,237840,18610
Surf Mesa,Carried Away (Love To Love) (with Madison Beer),Carried Away (Love To Love) (with Madison Beer),spotify:track:4IvuPZogXbY7LODs7qzr0W,0.518,0.683,1,-5.295,1,0.0364,0.346,0,0.311,0.304,141.971,182654,481057
T-ARA,Absolute First Album,Falling U,spotify:track:1fC4v1Lep3iNMCaiCGhFog,0.763,0.854,11,-4.248,1,0.03,0.475,1.19E-06,0.279,0.939,130.031,210467,14137112
Kauai45,Just The Two of Us,Just The Two of Us,spotify:track:5cwCW4r6ybpSiHWMpMKHoJ,0.592,0.214,1,-13.468,1,0.115,0.936,1.62E-05,0.253,0.422,81.672,117037,2737325
Billie Eilish,Lost Cause,Lost Cause,spotify:track:2xdwCJLfKCkat14mlgR26M,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051,212496,4942514
Crush,It's alright This is love (Original Television Soundtrack) Vol. 1,Sleepless Night (feat. Punch),spotify:track:06qX0YB7c6ePHglG14TN39,0.599,0.575,10,-5.792,1,0.0315,0.449,9.44E-05,0.298,0.491,151.994,237539,12350835
Gesaffelstein,Blast Off (feat. Pharrell Williams),Blast Off (feat. Pharrell Williams),spotify:track:095nyFKlTwa9JIp9cVrHOF,0.627,0.505,6,-12.659,1,0.0549,0.197,0.0149,0.0583,0.146,100.005,215973,260372
Jessi,NUNA,NUNU NANA,spotify:track:4Bmk7JYOquhWmSMMW4WebM,0.743,0.689,7,-2.846,1,0.0289,0.0198,0,0.708,0.504,104.936,195836,6040666
OHMYMEITING,別擔心!我不是壞人,住在天狼星的那個人,spotify:track:4Bk3BgijYqulnENTBLVBTo,0.452,0.478,5,-7.271,1,0.0496,0.741,0,0.0885,0.431,185.738,265360,10583008
iKON,Return,BEST FRIEND,spotify:track:5GB0hU37rKZNVsHMu7FOM9,0.457,0.745,4,-4.014,1,0.0864,0.19,0,0.17,0.568,67.927,230149,343463
Seo In Guk,LOVE&LOVE,MY LOVE (feat. RAVI),spotify:track:7cbKVbe8nbPj0qtpkguN3N,0.717,0.481,5,-6.925,0,0.0273,0.496,4.47E-06,0.343,0.388,94.02,205773,1284677
任子墨,那一刻心动,那一刻心动,spotify:track:7xDT598wq8MeI1gxmDJw0t,0.704,0.439,6,-10.905,1,0.0452,0.557,0,0.292,0.506,95.985,250000,4312047
AILEE,Sweater,Sweater,spotify:track:4fNAQsF4kKX0fbxI2o5Xgb,0.44,0.338,5,-7.442,1,0.0345,0.921,0,0.0977,0.252,79.094,231400,50604
CHUNG HA,Everybody Has,Everybody Has,spotify:track:7AKAZxuCnOqkNFVsDxVzYn,0.528,0.794,11,-4.974,0,0.0665,0.641,1.07E-05,0.329,0.602,74.006,222454,8743
Tiësto,Jackie Chan,Jackie Chan - Keanu Silva Remix,spotify:track:4DFPLQ1A5VX3XJ2EdX4RzU,0.885,0.869,6,-4.939,1,0.0552,0.00211,7.85E-06,0.0325,0.702,126.005,155324,2405804
高隆華LEON,鮮奶茶 MILK TEA,鮮奶茶 MILK TEA,spotify:track:4HdjvaHOvPSBp2U9VbIXno,0.846,0.426,11,-7.425,1,0.0873,0.298,0,0.104,0.549,120.019,161253,22179300
Spice Girls,Spice,Wannabe,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,0.768,0.864,11,-6.145,1,0.0324,0.101,0,0.162,0.891,110.008,173027,4113167
Moore Kismet,Parallel Heartbreak,Parallel Heartbreak,spotify:track:5zGOmNgWKgfzn9YcGsNQFx,0.495,0.545,8,-5.76,1,0.118,0.228,2.17E-06,0.254,0.398,77.572,202403,229304
Seo actor,Eternal Sunshine 1/2,Eternal Sunshine,spotify:track:2iEykY8EqjYrG3Gz7GdpMu,0.627,0.459,0,-6.583,1,0.0481,0.775,0,0.0744,0.728,139.881,190645,5208474
Jukjae,A Day,Letter,spotify:track:3ySSbGT5BepfePnva86js7,0.782,0.348,0,-8.798,1,0.326,0.637,0.000437,0.126,0.576,141.839,211603,6987391
Saweetie,Tap In,Tap In,spotify:track:4Hpib09wXgD84w4uwTPnYD,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,139413,90236
Yoon Mirae,t 3 YOONMIRAE,Tears Drops As Times Goes,spotify:track:3MIr018dPi2pnbDe7I3O0z,0.666,0.393,5,-8.116,0,0.0998,0.811,0,0.0856,0.189,128.017,237662,590196
Nightcore High,Apollo,Apollo,spotify:track:1inNWPIdBuMIgKubp53Qm7,0.483,0.611,1,-6.33,1,0.0994,0.117,0,0.111,0.325,103.308,150340,497313
INFINITE,Only Tears,Only Tears,spotify:track:0JsHTVSTotpbHC7hR7gvf0,0.463,0.296,2,-7.392,1,0.0276,0.681,0,0.101,0.15,137.525,233120,1686977
Anthony Lazaro,Moody Wind,Moody Wind,spotify:track:7dTIsyFZ6GFDRNxilprPXg,0.766,0.38,4,-16.165,0,0.0409,0.756,0.0061,0.137,0.292,114.995,192261,4103277
Gareth.T,boyfriend material,boyfriend material,spotify:track:20dYdhOwY8nfGsVaIockAR,0.794,0.454,4,-7.848,1,0.0477,0.445,0,0.127,0.913,144.926,150298,464
Bruno Mars,Doo-Wops & Hooligans,Talking to the Moon,spotify:track:161DnLWsx1i3u1JT05lzqU,0.498,0.59,1,-4.721,0,0.032,0.511,0,0.107,0.0784,145.867,217867,2196487
Lepani,Wait To Wake Me Up,Wait To Wake Me Up,spotify:track:3WZplwWk5XTzKhgKF0ZxFK,0.704,0.357,0,-7.211,1,0.0643,0.67,1.46E-06,0.224,0.25,91.07,149267,2053635
Narysal,Fade Away,Fade Away,spotify:track:1LX0rE83o0vRjs5GVrHGgr,0.676,0.729,0,-4.177,1,0.0497,0.224,0,0.14,0.508,123.979,210000,1774375
Mac Ayres,Something to Feel,Get to You Again,spotify:track:5pNiAcguRrBdYf5V0QXdir,0.499,0.429,3,-10.288,1,0.0495,0.199,0.000311,0.334,0.277,117.751,267450,4714
Norwegian Wood,Chilly Weather,Chilly Weather,spotify:track:108RKR6BBqZ6cEfrOGP4mX,0.66,0.481,8,-6.107,0,0.0545,0.543,0,0.105,0.412,79.048,219000,7681520
ROZY,TO THE SEA,TO THE SEA,spotify:track:3nt1HsOQGEP5XeZzpeaWVK,0.737,0.646,11,-3.97,1,0.0524,0.617,0,0.0817,0.647,123.066,197133,5537848
TAEYEON,인연,"만약에 (From. ""드라마 쾌도 홍길동"")",spotify:track:1BHLy0efFQ8FFxyxgJtTMf,0.527,0.378,9,-6.527,1,0.0289,0.82,0,0.115,0.283,145.871,266060,23147
Sohyang,Begin Again Korea Episode.6 (Original Television Soundtrack),"I will go to you like the first snow (From The Original TV Show ""Begin Again"") - Live",spotify:track:3AmxrFxqzSxWd4sql23xEQ,0.539,0.226,5,-7.877,0,0.0373,0.896,0,0.108,0.34,133.964,213491,0
Eminem,Recovery,Love The Way You Lie,spotify:track:15JINEqzVMv3SvJTAXAKED,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373,13533930
Usher,Confessions (Expanded Edition),Yeah! (feat. Lil Jon & Ludacris),spotify:track:5rb9QrpfcKFHM1EUbSIurX,0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,250373,4250610
Suzy,Yes? No?,행복한 척 Pretend,spotify:track:3LqTvm2QjnzrIh6bpDU5sv,0.553,0.483,11,-7.582,1,0.0899,0.728,0,0.22,0.491,85.788,221840,789274
Anderson .Paak,Malibu,Come Down,spotify:track:276zciJ7Fg7Jk6Ta6QuLkp,0.841,0.898,8,-7.135,1,0.104,0.271,0.0151,0.304,0.931,98.401,169727,85960
J_ust,T_wo,Under the night we were facing our breakup,spotify:track:0H1aG96BRR4VfDayFuEZ4C,0.541,0.326,11,-7.981,1,0.0278,0.62,0,0.121,0.208,136.086,226133,2759802
Khalil Fong,危險世界,特別的人,spotify:track:0VTzUEuHYD8s7CgQ15cDPo,0.563,0.488,11,-7.314,1,0.0349,0.332,0,0.187,0.262,139.987,259080,10719551
Trippie Redd,Miss The Rage (feat. Playboi Carti),Miss The Rage (feat. Playboi Carti),spotify:track:2BITQ360Knh6qNAOqR7Dyq,0.584,0.859,8,-5.616,1,0.121,0.0144,0,0.847,0.369,77.005,236883,95149
keshi,always,always,spotify:track:26dXOkhzMxLLNaUXt77HQc,0.629,0.495,9,-6.86,1,0.103,0.539,0.000231,0.0326,0.548,89.773,172355,1019317
FTISLAND,Return,Hello Hello,spotify:track:6H6J8V8NXmXHLDp1AICHhk,0.526,0.908,6,-2.717,0,0.172,0.0806,0,0.0622,0.714,199.947,195944,938531
RINI,My Favourite Clothes,My Favourite Clothes,spotify:track:2ZwIO3ufWLFYxtEoam9ydu,0.746,0.339,2,-9.041,1,0.144,0.482,1.36E-05,0.0838,0.291,119.924,257000,414824
JIHYO,투유 프로젝트 - 슈가맨 Pt.11,당돌한 여자,spotify:track:7AqScxClmkJdqHZjWSkKH8,0.725,0.579,7,-5.034,0,0.0328,0.453,0,0.124,0.532,129.917,185533,6106160
Kipes,Melody,Melody,spotify:track:4zoAOEGIrfR43iDOtxQqgg,0.804,0.381,5,-8.17,1,0.0372,0.387,0,0.0915,0.61,94.984,237474,11363473
en,间距,间距,spotify:track:4U0bL1ouvksMgvXU2aKq4O,0.575,0.562,6,-7.396,1,0.0289,0.45,0,0.101,0.334,130.056,283969,2248297
胡期皓,小时光,小时光,spotify:track:6R3HSoob9oDK60aNFDkOtE,0.671,0.697,1,-6.555,1,0.0343,0.31,0.00161,0.167,0.347,98.089,155948,1355811
Megan Thee Stallion,Good News,Body,spotify:track:0A1hoCfMLkiAgvhWkkucJa,0.914,0.732,8,-6.1,0,0.241,0.0166,0,0.107,0.469,94.066,171067,1132717
G-DRAGON,One of a Kind,Without You,spotify:track:1e6bjiUn5IhSHu4RgyrPUt,0.6,0.679,11,-6.894,1,0.0372,0.0311,0,0.338,0.327,123.991,242677,112523
JEONG EUN JI,"Strong Woman Do Bong Soon, Pt. 1",You're My Garden,spotify:track:2XJOdcqQnB4dpi0mTxmzC9,0.543,0.515,2,-4.022,1,0.0373,0.561,0,0.124,0.23,123.195,243037,2151466
Lil Ghost小鬼,Good Night,Good Night,spotify:track:33Qwrm9m7K9zkstO26yySn,0.683,0.861,3,-6.666,0,0.418,0.296,0,0.134,0.652,77.985,177385,10976808
Tension,Smart?,我們的故事,spotify:track:5jHui9rDOvE84VzyddLHVh,0.67,0.438,9,-8.045,1,0.0333,0.615,1.29E-06,0.227,0.339,112.992,293293,19681138
Jay Chou,十二新作,大笨鐘,spotify:track:2hjTSnSYU25he80XAWie4y,0.579,0.617,4,-6.78,1,0.0354,0.0527,9.74E-06,0.0967,0.248,148.019,242840,1408537
Kauai45,Cool,Cool,spotify:track:5UJaXqy96rSRh6JRuLz427,0.799,0.145,7,-13.006,1,0.0475,0.846,1.34E-06,0.081,0.432,107.903,142222,11215
Goodnight Stand,First Time,First Time,spotify:track:7FTNJvoMqf8diaPcRsITu8,0.698,0.374,4,-10.134,1,0.227,0.543,0.00105,0.437,0.396,169.941,198606,1941496
Doja Cat,Hot Pink,Streets,spotify:track:60ynsPSSKe6O3sfwRnIBRf,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,226987,65258
Eminem,The Eminem Show,Without Me,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,290320,2839291
Tiësto,Split (Only U),Split (Only U),spotify:track:1Q4jb2UjtWUDUojHsB8mLY,0.634,0.927,1,-3.282,1,0.136,0.048,0.687,0.0864,0.35,128.016,256641,10141034
WONHO,WHITE MIRACLE,WHITE MIRACLE,spotify:track:4eECOAVl44c2mZyqbGACbm,0.656,0.699,7,-2.801,1,0.0286,0.00301,0,0.135,0.373,114.98,190680,751330
Nan Quan Mama,優的良曲南搞小孩,下雨天,spotify:track:3BfjVIPmUpIrgqLdOJP1My,0.526,0.551,4,-6.757,1,0.0286,0.595,0,0.372,0.275,127.967,253080,25310130
Kim Na Young,To be honest,To be honest,spotify:track:565JHnn5nCgQpXbPDOJvbb,0.481,0.561,6,-4.207,1,0.0459,0.699,0,0.108,0.289,131.883,200507,0
SOLE,Slow,Slow,spotify:track:3bHE2Q0boauLBF8iJLUIga,0.399,0.397,1,-7.477,1,0.1,0.591,2.06E-05,0.109,0.306,78.162,241677,252484
L'Impératrice,Matahari,Erreur 404,spotify:track:1xlBBF8plcM6vHQfOM9Fs7,0.72,0.256,3,-12.217,0,0.0352,0.375,0.626,0.125,0.467,95.013,220507,382885
amin,See you,"See you - with Noair, Nason",spotify:track:5HFl0JaGH9FPvI4Z7kVINo,0.639,0.51,6,-6.921,1,0.0796,0.791,1.82E-06,0.0902,0.654,88.898,186667,569654
Mi Rae Yoon,"It's alright This is love (Original Television Soundtrack), Vol. 2",I Love You,spotify:track:5MrNeb5vYZ0XZrpHsECxn7,0.654,0.689,1,-3.133,1,0.0273,0.724,0,0.375,0.382,79.994,243112,6752063
Geeks,Officially Missing You,Officially Missing You,spotify:track:7CkjU55ROZSwb95dzGan0o,0.661,0.714,7,-5.524,1,0.114,0.641,0,0.287,0.775,92.979,210367,11666994
Cupnoodle,Pineapple On Pizza,Pineapple On Pizza,spotify:track:0htCWUx5f2UTA5HDzxJbi9,0.706,0.345,10,-7.457,1,0.0439,0.382,0,0.069,0.718,76.487,162414,201970
Hikaru Utada,First Love,First Love,spotify:track:39HrUxcvKF3jtLz7fUDWXc,0.438,0.434,7,-8.37,1,0.0371,0.122,0,0.15,0.195,179.913,257293,1876797
KAHOH,Summer Time,Summer Time,spotify:track:2AyzxOw81jO9YdlEkLc46T,0.814,0.635,11,-5.923,0,0.0515,0.192,0,0.0748,0.586,99.992,169963,1745159
Doja Cat,Hot Pink,Say So,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,11,-4.583,0,0.159,0.264,3.35E-06,0.0904,0.779,110.962,237893,255115
Lana Del Rey,Watercolor Eyes,Watercolor Eyes - From “Euphoria” An HBO Original Series,spotify:track:1G1R0XgChe18Zr1o6tlmN6,0.444,0.26,7,-10.045,1,0.0316,0.964,0.0815,0.125,0.121,120.443,211613,5713661
Raphael Saadiq,Jimmy Lee,Something Keeps Calling (feat. Rob Bacon),spotify:track:1dRnQLpzDjnmYhX4BSg937,0.614,0.657,7,-7.081,1,0.0361,0.238,1.85E-05,0.452,0.561,79.978,284560,466062
keshi,THE REAPER,like i need u,spotify:track:7ivYWXqrPLs66YwakDuSim,0.748,0.465,5,-8.163,1,0.0869,0.399,0,0.294,0.412,119.872,182679,557699
SZA,Ctrl,Love Galore (feat. Travis Scott),spotify:track:0q75NwOoFiARAVp4EXU4Bs,0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002,275080,275080
saevom,dearmybaby,dearmybaby (with Kim Boo Kyung),spotify:track:0fI28Yupfm9UuUPUZ7UdF3,0.594,0.116,6,-11.527,1,0.0429,0.954,2.17E-06,0.109,0.273,121.683,249000,7748463
Lee MinHyuk,"Now, We Are Breaking Up (Original Television Soundtrack), Pt. 7",Ing..,spotify:track:7DDHo1xE4G8WZlHepTCwje,0.69,0.578,7,-6.169,1,0.0295,0.478,0,0.178,0.489,94.04,240840,3448651
Khalil Fong,愛愛愛,愛愛愛,spotify:track:59lBAMCis4C6NsPdUV35Vz,0.473,0.459,9,-7.348,1,0.0377,0.4,0,0.0862,0.346,66.37,215253,78359
